name,hex,rgb,cmyk,description
Pear,#D1E231,"(209, 226, 49)","(8, 0, 78, 11)","['This pleasant yellow-green is almost exactly the color of a ripe Bartlett pear. Thanks to the K value (black), it’s a little quieter than many yellow greens. If you want to evoke a spring-like atmosphere in your project, this is a great shade of green to consider.']"
Dollar Bill,#85BB65,"(133, 187, 101)","(29, 0, 46, 27)","['The color green is commonly associated with money, and Dollar Bill is a color that gets close to the green on the dollar bill. Its sage-like color gives it a classic, understated look, and it’s especially pretty in paler tints.']"
Inchworm,#B2EC5D,"(178, 236, 93)","(25, 0, 61, 7)","['As a child, you might have noticed these bright yellow-green bugs inching slowly along in springtime. This cheerful bright green is slightly softened by a bit of black, making it a well-balanced shade that’s ideal for a range of different projects.']"
Caribbean Green,#00CC99,"(0, 204, 153)","(100, 0, 25, 20)","['Caribbean Green is just barely a green. Like the bright, clear waters of the Caribbean, this color is more of a blue with a hint of green. It’s a great way to help create the idea of a warm, summery atmosphere.']"
Green-Yellow,#ADFF2F,"(173, 255, 47)","(32, 0, 82, 0)","['Green-Yellow doesn’t have a very exciting name. But the name does describe the color perfectly: it’s a greenish yellow. As you can see from the CMYK values, it leans more yellow than blue, creating a bright and high-energy hue.']"
Malachite,#0BDA51,"(11, 218, 81)","(95, 0, 63, 15)","['This beautifully balanced color is what most people likely picture when they imagine green. Though it has slightly more blue than yellow, Malachite offers a classic green that may well be the right color for your project.']"
Volt,#CEFF00,"(206, 255, 0)","(19, 0, 100, 0)","['Even the name of this color suggests high energy. And as you may have guessed, Volt is one of the yellowest greens on the list. With a yellow value of 100 and a cyan value of 19, its brightness is tempered just enough. Still, if you need a shock of near-yellow for your project, Volt is certainly an option.']"
Thyme,#5EDC1F,"(94, 220, 31)","(57, 0, 86, 14)","['The name of this shade of green is somewhat deceptive. While it’s close to the shade of natural thyme, it has a bit more yellow. Still, it’s a versatile color that’s similar to Kelly Green.']"
Chartreuse,#7FFF00,"(127, 255, 0)","(50, 0, 100, 0)",['This bright greenish-yellow is named after a green or yellow French liqueur that has been made since the 1700s. It’s a great option if you are looking for an almost-neon shade of green.']
Shrek Green,#C4D300,"(196, 211, 0)","(7, 0, 100, 17)","['Many shades of green are named after things in nature, but Shrek Green gets its name from the popular animated ogre. It’s an unusual mixture of yellow-green and olive, but if you want something that breaks the mold, it’s a great choice.']"
Lightsaber Green,#2FF924,"(47, 249, 36)","(81, 0, 86, 2)","['This lively green is similar to both Harlequin and Chartreuse. If you need a neon green that’s so bright it glows, Lightsaber Green just might be your answer. It looks especially striking against pure black or deep blue.']"
Spring Bud,#A7FC00,"(167, 252, 0)","(34, 0, 100, 1)","['We’re all familiar with the thin, yellow-green leaf buds that signal the start of spring. This high-energy green captures that color beautifully. Though not as green as Chartreuse or Harlequin, it’s still useful for adding a pop of color to your project.']"
Chinese Green,#D0DB61,"(208, 219, 97)","(5, 0, 56, 14)","['This unusual green looks, at first glance, more like a yellow-brown. However, it has an almost jewel-tone look to it, and it pairs well with deep reds. While Chinese Green likely would not be considered a true neutral, it’s somewhat close.']"
Arctic Lime,#D0FF14,"(208, 255, 20)","(18, 0, 92, 0)","['If you pay attention to color trends, you may have noticed that colors like Arctic Lime are making a comeback. Arctic Lime has some characteristics of neon, but it’s not quite as bright, making it generally more pleasing to the eye. It looks especially dramatic against stark black.']"
Nyanza,#E9FFDB,"(233, 255, 219)","(9, 0, 14, 0)","['Named after a city in Rwanda, Nyanza is a beautifully soft mint green. If you like pastels, it makes an especially soothing wall color. It also works as an alternative to white if you’re selecting background colors. Nyanza would also work well in a watercolor-esque, pastel color palette.']"
Crayola Yellow-Green,#ACDF87,"(172, 223, 135)","(23, 0, 39, 13)","['This color, which is in similar vein to lemon-lime, is the same color as Crayola’s yellow-green crayon. It’s sure to bring back memories of coloring as a child. Crayola Yellow-Green is roughly the shade of grass as it begins to yellow. And thanks to the fact that it has very little black, it manages to be bright without becoming overpowering.']"
Vivid Lime Green,#A4DE02,"(164, 222, 2)","(26, 0, 99, 13)","['Lime green is more than just one shade. From Arctic Lime to Vivid Lime Green, you can find it in seemingly endless iterations. Vivid Lime Green has a high percentage of yellow, but it has enough black to add some depth. Compared to some more fluorescent types of lime, Vivid Lime Green has a bit more presence.']"
Pistachio,#93C572,"(147, 197, 114)","(25, 0, 42, 23)","['This color is named after everyone’s favorite green nut, and it’s about the color of pistachio ice cream. It’s a great choice if you want a medium-light green that isn’t overly bright. Since it’s tempered by black, this shade of green is a little muted, although not as much as the various shades of olive green.']"
Medium Spring Green,#00FA9A,"(0, 250, 154)","(100, 0, 38, 2)","['Medium Spring Green is an especially lovely spring green. It manages to be both soft and bright, and it looks almost like a slightly darker mint-green pastel. It can be easy to mix up the various shades of spring green, but this is one that really shouldn’t get lost in the shuffle.']"
Sheen Green,#8FD400,"(143, 212, 0)","(33, 0, 100, 17)",['This oddly-named color looks like an interesting mix between moss green and spring green. It’s easy on the eyes and looks especially nice as a backdrop for black text. It gets its name from the Sheen Green crayon by Crayola.']
Lawn Green,#7CFC00,"(124, 252, 0)","(51, 0, 100, 1)","['Lawn Green is somewhat close to Chartreuse in color, making it a lot brighter than many people’s lawns. However, it’s close to the color of grass when it’s illuminated by falling light. This is a good color to choose if you like the lightness of spring greens and pastels but want something that’s a bit more energizing.']"
Dark Sea Green,#8FBC8F,"(143, 188, 143)","(24, 0, 24, 26)","['This color is roughly the shade of the ocean on a cloudy day. It’s also an excellent uncommon color to choose for a project. Most of us are familiar with sea green, but it’s fairly common, especially around the summertime. This variant can let your work stand out. And thanks to its relatively high degree of blue and black, it’s very much at home in a cooler color palette.']"
Limerick,#9DC209,"(157, 194, 9)","(19, 0, 95, 24)","['This whimsically-named green looks fairly similar to many of the yellow-greens and lemon-limes on the list. Like Irish Green, it inspires images of rolling hills and sunlight, as it’s a grassy green with a fair bit of yellow. If you like the various shades of lime on the list but want something a bit darker and less fluorescent, Limerick is a color you may want to consider.']"
Maximum Green Yellow,#D9E650,"(217, 230, 80)","(6, 0, 65, 10)","['If Limerick is the color of grass, then Maximum Green Yellow is the color of dried, yellowed grass in winter. It’s an unusual shade that looks a bit like an olive green with a significant amount of yellow added. Due to its almost-golden appearance, it pairs very well with deeper shades of blue.']"
French Lime,#9EFD38,"(158, 253, 56)","(38, 0, 78, 1)","['As you’ve seen, many of the shades of lighter green have names involving lime. And while it might seem like this one is named after a species of lime native to France, that’s not the case. This shade appears on several French color lists where it’s simply called “lime.” So to differentiate it from the many other shades of lime, it was called “French Lime.”']"
Medium Spring Bud,#C9DC87,"(201, 220, 135)","(9, 0, 39, 14)","['Not to be confused with Medium Spring Green, Medium Spring Bud is a color that looks roughly like a lightened combination of olive and sage. As you can see from its CMYK values, there’s far more yellow than there is blue or black. Medium Spring Bud is designed to be about the same color as a bud getting ready to bloom.']"
UFO Green,#3CD070,"(60, 208, 112)","(71, 0, 46, 18)","['It isn’t really clear why this color is called UFO Green. After all, there’s nothing particularly otherworldly about it. In fact, it looks a lot like green grass. But if you’re looking for a somewhat bright, relatively balanced green with slightly more blue than yellow, UFO Green is a good choice.']"
Acid Green,#B0BF1A,"(176, 191, 26)","(8, 0, 86, 25)","['At first glance, Acid Green looks a lot like Olive Drab. It’s another olive-like green that’s significantly lightened up by yellow. For a real-world reference, this color is fairly similar to the color of pea soup.']"
Chlorophyll Green,#4AFF00,"(74, 255, 0)","(71, 0, 100, 0)","['Chlorophyll allows plants to take energy from light, and it’s a key part of photosynthesis. And since chlorophyll is a green pigment, it makes sense that a shade of green would be named after it. Chlorophyll Green is a bright color similar to neon green.']"
